SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,ShipToAddressID,BillToAddressID,ShipMethod,CreditCardApprovalCode,SubTotal,TaxAmt,Freight,TotalDue,Comment,rowguid,ModifiedDate
71774,2,2008-06-01,2008-06-13,2008-06-08,5,False,SO71774,PO348186287,10-4020-000609,29847,1092,1092,CARGO TRANSPORT 5,,880.3484,70.4279,22.0087,972.785,,89E42CDC-8506-48A2-B89B-EB3E64E3554E,2008-06-08
71776,2,2008-06-01,2008-06-13,2008-06-08,5,False,SO71776,PO19952192051,10-4020-000106,30072,640,640,CARGO TRANSPORT 5,,78.81,6.3048,1.9703,87.0851,,8A3448C5-E677-4158-A29B-DD33069BE0B0,2008-06-08
71780,2,2008-06-01,2008-06-13,2008-06-08,5,False,SO71780,PO19604173239,10-4020-000340,30113,653,653,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,A47665D2-7AC9-4CF3-8A8B-2A3883554284,2008-06-08
71782,2,2008-06-01,2008-06-13,2008-06-08,5,False,SO71782,PO19372114749,10-4020-000582,29485,1086,1086,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,F1BE45A5-5C57-4A50-93C6-5F8BE44CB7CB,2008-06-08
71783,2,2008-06-01,2008-06-13,2008-06-08,5,False,SO71783,PO19343113609,10-4020-000024,29957,992,992,CARGO TRANSPORT 5,,83858.4261,6708.6741,2096.4607,92663.5609,,7DB2329E-6446-42A8-8915-9C8370B68ED8,2008-06-08
71784,2,2008-06-01,2008-06-13,2008-06-08,5,False,SO71784,PO19285135919,10-4020-000448,29736,659,659,CARGO TRANSPORT 5,,108561.8317,8684.9465,2714.0458,119960.824,,CA31F324-2C32-4F8D-95EB-596E7F343027,2008-06-08
71796,2,2008-06-01,2008-06-13,2008-06-08,5,False,SO71796,PO17052159664,10-4020-000420,29660,1058,1058,CARGO TRANSPORT 5,,57634.6342,4610.7707,1440.8659,63686.2708,,917EF5BA-F32D-4563-8588-66DB0BCDC846,2008-06-08
71797,2,2008-06-01,2008-06-13,2008-06-08,5,False,SO71797,PO16501134889,10-4020-000142,29796,642,642,CARGO TRANSPORT 5,,78029.6898,6242.3752,1950.7422,86222.8072,,BB3FEE84-C8BF-4DD2-BCCA-675AB6A11C38,2008-06-08
71815,2,2008-06-01,2008-06-13,2008-06-08,5,False,SO71815,PO13021155785,10-4020-000276,30089,1034,1034,CARGO TRANSPORT 5,,1141.5782,91.3263,28.5395,1261.444,,2AA5F39B-1096-4A4B-B17B-F10504A397CE,2008-06-08
71816,2,2008-06-01,2008-06-13,2008-06-08,5,False,SO71816,PO12992180445,10-4020-000295,30027,1038,1038,CARGO TRANSPORT 5,,3398.1659,271.8533,84.9541,3754.9733,,E3C189E7-98DE-4C40-B6C2-0D1D13F9BB33,2008-06-08
